scenario_id,week_start,plant_id,region_id,model_code,trim_code,color_code,allocated_qty,implied_lead_days
1,2025-08-04,SHA,CC,M3,PR,BK,12,23
1,2025-08-04,AUS,CC,M3,PR,BL,23,5
1,2025-08-04,FRE,CC,M3,PR,BL,21,9
1,2025-08-04,SHA,CC,M3,PR,BL,20,23
1,2025-08-04,BER,CC,M3,PR,BL,15,25
1,2025-08-04,AUS,CC,M3,PR,GY,38,5
1,2025-08-04,FRE,CC,M3,PR,GY,55,9
1,2025-08-04,SHA,CC,M3,PR,GY,41,23
1,2025-08-04,BER,CC,M3,PR,GY,43,25
1,2025-08-04,AUS,CC,M3,PR,WH,70,5
1,2025-08-04,FRE,CC,M3,PR,WH,92,9
1,2025-08-04,SHA,CC,M3,PR,WH,25,23
1,2025-08-04,AUS,CC,M3,ST,BK,149,5
1,2025-08-04,AUS,CC,M3,ST,BL,49,5
1,2025-08-04,FRE,CC,M3,ST,BL,50,9
1,2025-08-04,SHA,CC,M3,ST,BL,55,23
1,2025-08-04,BER,CC,M3,ST,BL,26,25
1,2025-08-04,AUS,CC,M3,ST,GY,93,5
1,2025-08-04,FRE,CC,M3,ST,GY,100,9
1,2025-08-04,AUS,CC,M3,ST,WH,142,5
1,2025-08-04,AUS,CC,MY,PR,BK,35,5
1,2025-08-04,FRE,CC,MY,PR,BK,41,9
1,2025-08-04,SHA,CC,MY,PR,BK,54,23
1,2025-08-04,BER,CC,MY,PR,BK,44,25
1,2025-08-04,AUS,CC,MY,PR,BL,16,5
1,2025-08-04,FRE,CC,MY,PR,BL,13,9
1,2025-08-04,SHA,CC,MY,PR,BL,13,23
1,2025-08-04,BER,CC,MY,PR,BL,17,25
1,2025-08-04,AUS,CC,MY,PR,GY,36,5
1,2025-08-04,FRE,CC,MY,PR,GY,24,9
1,2025-08-04,SHA,CC,MY,PR,GY,27,23
1,2025-08-04,BER,CC,MY,PR,GY,31,25
1,2025-08-04,AUS,CC,MY,PR,WH,55,5
1,2025-08-04,FRE,CC,MY,PR,WH,50,9
1,2025-08-04,SHA,CC,MY,PR,WH,46,23
1,2025-08-04,BER,CC,MY,PR,WH,64,25
1,2025-08-04,AUS,CC,MY,ST,BK,130,5
1,2025-08-04,FRE,CC,MY,ST,BK,73,9
1,2025-08-04,AUS,CC,MY,ST,BL,31,5
1,2025-08-04,FRE,CC,MY,ST,BL,46,9
1,2025-08-04,SHA,CC,MY,ST,BL,32,23
1,2025-08-04,BER,CC,MY,ST,BL,28,25
1,2025-08-04,AUS,CC,MY,ST,GY,84,5
1,2025-08-04,FRE,CC,MY,ST,GY,76,9
1,2025-08-04,SHA,CC,MY,ST,GY,9,23
1,2025-08-04,AUS,CC,MY,ST,WH,109,5
1,2025-08-04,FRE,CC,MY,ST,WH,76,9
1,2025-08-04,SHA,EC,M3,PR,BK,69,24
1,2025-08-04,BER,EC,M3,PR,BK,84,26
1,2025-08-04,BER,EC,M3,PR,GY,4,26
1,2025-08-04,SHA,EC,M3,PR,WH,56,24
1,2025-08-04,BER,EC,M3,PR,WH,58,26
1,2025-08-04,AUS,EC,M3,ST,BK,29,10
1,2025-08-04,FRE,EC,M3,ST,BK,180,12
1,2025-08-04,BER,EC,M3,ST,BL,19,26
1,2025-08-04,FRE,EC,M3,ST,GY,3,12
1,2025-08-04,SHA,EC,M3,ST,GY,99,24
1,2025-08-04,BER,EC,M3,ST,GY,99,26
1,2025-08-04,AUS,EC,M3,ST,WH,25,10
1,2025-08-04,FRE,EC,M3,ST,WH,174,12
1,2025-08-04,SHA,EC,M3,ST,WH,23,24
1,2025-08-04,BER,EC,MY,PR,BK,1,26
1,2025-08-04,FRE,EC,MY,ST,BK,55,12
1,2025-08-04,SHA,EC,MY,ST,BK,122,24
1,2025-08-04,BER,EC,MY,ST,BK,94,26
1,2025-08-04,SHA,EC,MY,ST,GY,54,24
1,2025-08-04,BER,EC,MY,ST,GY,72,26
1,2025-08-04,FRE,EC,MY,ST,WH,66,12
1,2025-08-04,SHA,EC,MY,ST,WH,125,24
1,2025-08-04,BER,EC,MY,ST,WH,97,26
1,2025-08-04,FRE,WC,M3,ST,BK,2,4
1,2025-08-04,SHA,WC,M3,ST,BK,146,22
1,2025-08-04,SHA,WC,M3,ST,WH,133,22
